Pays_Ou_Entites,Total_cas_confirmés,Total_deces,Superficie_(En_Km2),Population_Mi-2019,Taux_De_Natalite_(Pour_1_000_Habitants),Taux_De_Mortalite_(Pour_1_000_Habitants),Projection_De_La_Population_En_2050,Taux_De_Mortalite_Infantile_(Pour_1_000_Naissances),Indice_Synthetique_De_Fecondite_(Enfants_Par_Femme),Proportion_De_Moins_De_15_Ans_(En_%),Population_de_moins_de_15_ans,Proportion_De_65_Ans_Ou_Plus_(En_%),Population_de_65_ans_ou_plus,Esperance_De_Vie_A_La_Naissance_Hommes_Femmes_(En_Annees),Revenu_National_Brut_P.P.A._Par_Hab._En_2018_(En_Dollars_Us),Lat,Long,Total_cas_remission,Fatality_Rate,value,labels
Afghanistan,4056576,126077,159088000,9272000000.0,7808,1464,15860000000,11956.0,1049.1999999999953,102.48000000000035,38942400.0,7.320000000000016,278160000.0,15372.0,478240.0,8281.142840000019,16521.228531999932,2398631,3.107965929887669,1,-1
Afrique du Sud,44592708,893014,297924000,14298400000.0,4880,2196,18544000000,6344.0,585.5999999999973,70.75999999999999,41465360.0,12.200000000000038,714920000.0,14884.0,3228120.0,-7456.518000000024,5596.75,33301273,2.0026009633682706,1,-1
Albanie,679314,20165,7076000,707600000.0,2928,1952,585600000,1952.0,390.4000000000012,41.480000000000246,1202920.0000000002,34.160000000000096,99064000.00000001,18788.0,3162240.0,10041.405199999988,4921.0651999999955,384363,2.9684358043555705,1,-1
Algerie,3483151,158731,581208000,10516400000.0,5856,1220,14884000000,4880.0,732.0,75.64000000000026,32600840.0,17.080000000000048,736148000.0000001,18544.0,3745400.0,6840.271600000025,404.9424000000018,2367555,4.557109352996755,1,-1
Allemagne,34378718,1390500,87108000,20374000000.0,2196,2684,19520000000,732.0,390.4000000000012,34.160000000000096,28523600.0,53.67999999999983,4482280000.0,19276.0,13615200.0,12484.42860400003,2550.1723439999946,29011796,4.044653439374906,1,-1
Andorre,158056,8376,122000,19520000.0,1708,976,19520000,732.0,244.0,34.160000000000096,27328.0,243756.0,243756.0,243756.0,243756.0,10371.537199999955,371.31919999999985,119743,5.299387558839904,2,-1
Angola,155898,6645,304268000,7759200000.0,9760,1952,18788000000,14152.0,1317.600000000002,114.67999999999978,36468240.0,4.879999999999984,155184000.0,14152.0,1500600.0,-2733.458799999996,4361.231600000004,57229,4.2624023399915325,1,-1
Antigua-et-Barbuda,9723,494,107360,24400000.0,3660,1464,26840000,1220.0,488.0,53.67999999999983,53680.0,21.959999999999972,2196000.0,18544.0,6139040.0,4162.835200000021,-15078.321599999934,7339,5.080736398230998,2,-1
Arabie saoudite,29494008,310592,524600000,8369200000.0,4148,976,10980000000,1464.0,561.2000000000008,61.0,20923000.0,7.320000000000016,251076000.0,18056.0,13578600.0,5828.169847999978,10999.315528,23971866,1.0530681350598399,1,-1
Argentine,25658804,527740,678320000,10931200000.0,4148,1952,13420000000,2440.0,536.7999999999987,61.0,27328000.0,26.839999999999915,1202432000.0,17812.0,243756.0,-9373.528400000045,-15522.474800000033,16435283,2.056759933159784,1,-1
Armenie,3983189,74483,7320000,732000000.0,3416,2440,683200000,2440.0,439.2000000000018,51.24000000000017,1537200.0,26.839999999999915,80520000.0,17324.0,2552240.0,9776.860400000001,10989.320800000049,2890433,1.8699338645492343,1,-1
Australie,2295019,41768,1888804000,6148800000.0,3172,1708,8052000000,732.0,439.2000000000018,46.35999999999992,11682720.0,39.03999999999987,983808000.0,19764.0,12182920.0,-7795.921999999984,28269.96199999992,1709827,1.819941359962597,1,-1
Autriche,3534453,112526,20496000,2196000000.0,2440,2440,2196000000,732.0,366.0,34.160000000000096,3074400.0000000005,46.35999999999992,417240000.0,19276.0,13654240.0,11593.952800000005,3550.224399999989,2912171,3.183689244134807,1,-1
Azerbaidjan,3123237,43311,21228000,2440000000.0,3904,1708,2684000000,4880.0,512.4000000000023,56.11999999999973,5612000.0,14.640000000000033,146400000.0,17324.0,4165080.0,9794.916399999986,11608.763600000004,2518744,1.38673434004528,1,-1
Bahamas,114931,3364,3416000,95160000.0,3416,1708,122000000,1464.0,414.79999999999825,53.67999999999983,209352.0,17.080000000000048,6661200.000000001,17568.0,7544480.0,6106.315940000003,-19040.756916000013,42295,2.9269735754496176,1,-1
Bahrein,4602422,15352,170800,390400000.0,3416,488,561200000,1464.0,488.0,46.35999999999992,741760.0,7.320000000000016,11712000.0,18544.0,10887280.0,6350.710000000021,12334.19999999996,3948004,0.33356350199959933,1,-1
Bangladesh,25266123,339704,35136000,39772000000.0,4392,1464,47092000000,6100.0,488.0,65.88000000000031,107384400.0,12.200000000000038,1988600000.0,17324.0,1112640.0,5779.14000000002,22046.937199999935,14271551,1.3445038639287872,1,-1
Barbade,19554,1130,104920,70760000.0,2684,2196,68320000,2440.0,390.4000000000012,41.480000000000246,120292.0,39.03999999999987,11321600.0,19032.0,4304160.0,3219.311600000017,-14528.540800000015,14919,5.77886877365245,2,-1
Belgique,10907705,1518598,7564000,2806000000.0,2684,2440,2928000000,732.0,414.79999999999825,41.480000000000246,4770200.000000001,46.35999999999992,533140000.0,19276.0,12558680.0,12403.32520000003,1090.6643839999958,2648268,13.922250372557746,3,-1
Belize,45842,760,5612000,95160000.0,5124,1220,146400000,2928.0,561.2000000000008,73.19999999999966,285480.0,12.200000000000038,4758000.0,17568.0,2000800.0,4194.3355999999885,-21593.414399999972,13613,1.657868330352079,1,-1
Benin,181488,3273,27572000,2879200000.0,8784,2196,5856000000,14396.0,1171.1999999999946,102.48000000000035,12092640.0,7.320000000000016,86376000.0,14640.0,585600.0,2271.0788000000016,565.0552000000017,118449,1.8034250198360222,1,-1
Bhoutan,14817,0,11468000,195200000.0,4148,1464,219600000,5368.0,488.0,61.0,488000.0,14.640000000000033,11712000.0,17324.0,2361920.0,6713.464799999971,22065.798400000054,9903,0.0,1,-1
Bielorussie,8407303,65160,50752000,2318000000.0,2928,2928,2196000000,732.0,414.79999999999825,41.480000000000246,3940600.0,36.59999999999983,347700000.0,17080.0,4684800.0,13105.191200000027,6820.629600000027,6604402,0.7750404618460879,1,-1
Bolivie,8174249,358016,268156000,2806000000.0,5124,1708,3904000000,6832.0,658.800000000001,75.64000000000026,8698600.0,17.080000000000048,196420000.00000003,16836.0,1871480.0,-3974.8087999999857,-15515.642800000038,3513442,4.379802964162213,1,-1
Bosnie-Herzegovine,1417832,47007,12444000,805200000.0,1952,2684,658800000,1464.0,317.20000000000147,36.59999999999983,1207800.0,41.480000000000246,136884000.0,18300.0,6302520.0,10715.479599999993,4313.700399999987,860700,3.3154139559552895,1,-1
Botswana,102329,422,142008000,561200000.0,5856,1464,854000000,7076.0,683.1999999999987,82.96000000000049,1908080.0,9.759999999999968,22448000.0,16104.0,4384680.0,-5448.153999999987,6023.11560000003,17890,0.4123953131565832,1,-1
Bresil,292482604,10381569,2077660000,51484000000.0,3416,1708,55876000000,2928.0,414.79999999999825,51.24000000000017,108116400.0,21.959999999999972,4633560000.0,17568.0,3860080.0,-3473.3400000000065,-12669.773200000056,221908946,3.5494654581234513,1,-1
Brunei,26191,394,1464000,104920000.0,3416,1220,122000000,1952.0,439.2000000000018,56.11999999999973,241316.0,12.200000000000038,5246000.0,18300.0,20932760.0,1106.6132000000014,27993.55879999992,23039,1.5043335496926424,1,-1
Bulgarie,1272360,49650,27084000,1708000000.0,2196,3660,1220000000,1464.0,390.4000000000012,36.59999999999983,2562000.0,51.24000000000017,358680000.0,17568.0,5177680.0,10427.071599999985,6218.535200000024,756233,3.902197491276054,1,-1
Burkina Faso,172763,8652,66856000,4953200000.0,9028,1952,10492000000,12444.0,1244.3999999999992,109.80000000000045,22289400.0,4.879999999999984,99064000.0,14884.0,468480.0,2986.145199999996,-381.0303999999997,133545,5.008016762848526,2,-1
Burundi,35572,162,6832000,2806000000.0,9272,1952,6100000000,9760.0,1293.1999999999941,109.80000000000045,12627000.0,4.879999999999984,56120000.0,14640.0,490440.0,-823.0364000000034,7300.211599999969,26610,0.4554143708534803,1,-1
Cambodge,31941,0,44164000,4026000000.0,5368,1464,5368000000,5368.0,610.0,75.64000000000026,12480600.0,12.200000000000038,201300000.0,16592.0,990640.0,2818.2000000000066,25599.674800000117,27618,0.0,1,-1
Cameroun,1903701,45091,115900000,6319600000.0,8540,2196,12444000000,14396.0,1098.0,102.48000000000035,26542320.0,7.320000000000016,189588000.0,14152.0,902800.0,938.9119999999965,2806.5124000000055,1542285,2.3685967491743716,1,-1
Canada,16584315,1210567,2432924000,9125600000.0,2440,1952,11224000000,9516.0,366.0,39.03999999999987,14600960.0,43.919999999999945,1642608000.0,19520.0,11536320.0,13695.8176,-25948.6191999999,11882668,7.2994694082933185,2,-1
Cap-Vert,288588,2926,976000,122000000.0,4636,1464,170800000,3904.0,536.7999999999987,68.32000000000019,341600.0,12.200000000000038,6100000.0,17080.0,1788520.0,4035.4671999999805,-5622.199199999994,202588,1.0139021719544818,1,-1
Centrafricaine (Republique),461346,5422,152012000,1146800000.0,8540,2928,1952000000,19276.0,1122.4000000000017,107.35999999999966,5045920.0,7.320000000000016,34404000.0,12444.0,212280.0,1613.108400000005,5109.213600000028,141447,1.1752567487308874,1,-1
Chili,39327635,932142,184464000,4636000000.0,2928,1464,4880000000,1464.0,390.4000000000012,46.35999999999992,8808400.0,29.280000000000065,556320000.0,19032.0,5917000.0,-8704.724400000045,-17456.49199999997,34169242,2.370195919485115,1,-1
Chine,19137543,936100,2332884000,349847200000.0,2928,1708,342088000000,2196.0,414.79999999999825,43.919999999999945,629724960.0,26.839999999999915,38483192000.0,18300.0,4426160.0,7120.700800000034,29302.789600000146,16398871,4.891432510432504,1,-1
Chypre,185059,3104,2196000,292800000.0,2440,1708,341600000,732.0,317.20000000000147,41.480000000000246,497760.0,34.160000000000096,40992000.00000001,19276.0,8581480.0,8570.841600000012,8156.895600000018,122351,1.6773029142057398,1,-1
Colombie,37143327,1211814,277916000,12273200000.0,3660,1464,13664000000,2928.0,439.2000000000018,56.11999999999973,28228360.0,21.959999999999972,1104588000.0,18300.0,3535560.0,1115.2996000000041,-18128.541199999992,24475963,3.262534882779887,1,-1
Comores,39474,729,536800,219600000.0,7564,1708,366000000,12688.0,1000.4000000000038,95.16000000000012,856440.0,7.320000000000016,6588000.0,15372.0,836920.0,-2841.5020000000122,10573.325200000025,33400,1.8467852257181943,1,-1
Congo,332079,6994,83448000,1317600000.0,7808,1708,2684000000,8296.0,1073.5999999999974,102.48000000000035,5533920.0,7.320000000000016,39528000.0,15372.0,836920.0,-55.632000000000254,3861.9587999999844,150636,2.1061253496908865,1,-1
Congo (Rep. dem. du),978743,24608,572180000,21179200000.0,10004,2196,47336000000,15372.0,1415.1999999999937,112.23999999999945,97424320.0,7.320000000000016,635376000.0,14396.0,243756.0,-985.345200000005,5309.122800000008,626642,2.514245312610154,1,-1
Coree du Sud,2671117,51740,24400000,12492800000.0,1708,1464,11468000000,488.0,268.39999999999935,31.719999999999924,16240640.0,36.59999999999983,1873920000.0,19520.0,9869800.0,8761.492708000003,31175.128967999906,2110641,1.9370173601530747,1,-1
Costa Rica,2433973,23847,12444000,1220000000.0,3416,1220,1464000000,1708.0,414.79999999999825,51.24000000000017,2562000.0,24.400000000000077,122000000.0,19032.0,4067480.0,2378.7316000000087,-20435.829600000012,863032,0.979756143556235,1,-1
Cote d'Ivoire,1598759,10996,78568000,6270800000.0,8540,2440,12444000000,14152.0,1122.4000000000017,102.48000000000035,26337360.0,7.320000000000016,188124000.0,13908.0,983320.0,1839.7599999999943,-1353.4924,1165296,0.6877834620477508,1,-1
Croatie,808785,20618,13908000,1000400000.0,2196,3172,829600000,976.0,341.59999999999934,36.59999999999983,1500599.9999999998,51.24000000000017,210083999.99999997,18300.0,3584360.0,11004.40000000005,3708.7999999999843,615955,2.5492559827395413,1,-1
Cuba,425891,13481,27084000,2757200000.0,2440,2196,2440000000,976.0,390.4000000000012,39.03999999999987,4411520.0,39.03999999999987,441152000.0,18788.0,243756.0,5251.30870800002,-18978.604747999958,346889,3.165363907666516,1,-1
Danemark,2273831,95532,10492000,1415200000.0,2684,2440,1464000000,732.0,439.2000000000018,39.03999999999987,2264320.0,48.80000000000015,283040000.0,19276.0,14022680.0,13728.391599999983,2318.4392000000003,1889663,4.201367647815514,1,-1
Djibouti,635439,6358,5612000,244000000.0,5124,1708,317200000,7564.0,658.800000000001,70.75999999999999,707600.0,12.200000000000038,12200000.0,15860.0,243756.0,2885.324400000004,10392.03319999997,547662,1.0005681111798301,1,-1
Dominicaine (Republique),7540370,151303,11956000,2610800000.0,4636,1464,3172000000,6100.0,561.2000000000008,68.32000000000019,7310240.000000001,17.080000000000048,182756000.00000003,17324.0,4138240.0,4571.51080000002,-17119.698800000086,4562222,2.0065726217678974,1,-1
Dominique,3185,0,195200,17080000.0,2928,1952,17080000,4880.0,439.2000000000018,53.67999999999983,37576.0,243756.0,243756.0,17812.0,2605920.0,3761.259999999993,-14974.523999999921,2667,0.0,1,-1
Egypte,9622288,483151,244244000,24497600000.0,6344,1464,39040000000,3660.0,805.1999999999972,82.96000000000049,83291840.0,12.200000000000038,1224880000.0,17080.0,2947520.0,6544.214931999963,7515.8095120000025,4900939,5.021165444226986,2,-1
Emirats arabes unis,7545326,46401,20496000,2391200000.0,2440,488,2440000000,1220.0,341.59999999999934,36.59999999999983,3586800.0,2.439999999999992,23912000.0,18788.0,18373200.0,5715.474543999999,13138.867592000037,5835482,0.6149634886550959,1,-1
Equateur,10615997,762263,69296000,4245600000.0,4636,1220,5612000000,3172.0,585.5999999999973,68.32000000000019,11887680.0,17.080000000000048,297192000.0,18056.0,2784040.0,-446.8128000000021,-19076.74960000004,6481360,7.1803241843418,2,-1
Erythree,29375,0,28792000,854000000.0,7320,1708,1464000000,7808.0,976.0,102.48000000000035,3586800.0,12.200000000000038,42700000.0,15616.0,243756.0,3703.7735999999973,9706.881200000009,20776,0.0,1,-1
Espagne,51527717,4662847,123464000,11394800000.0,1952,2196,10736000000,488.0,317.20000000000147,36.59999999999983,17092200.0,48.80000000000015,2278960000.0,19764.0,9964960.0,9873.134747999999,-914.8096800000028,23514639,9.049201617063686,2,-1
Estonie,348647,10413,10980000,317200000.0,2440,2928,292800000,488.0,390.4000000000012,39.03999999999987,507520.0,48.80000000000015,63440000.0,18056.0,8552200.0,14297.253200000085,6103.3184000000365,253932,2.9866885417055076,1,-1
Etats-Unis,544027944,21081574,2349476000,80300400000.0,2928,2196,92476000000,1464.0,439.2000000000018,46.35999999999992,152570760.0,39.03999999999987,12848064000.0,18544.0,15467160.0,9760.0,-24400.0,169594763,3.8750902839652666,1,-1
Ethiopie,2731070,44301,269376000,27352400000.0,7808,1464,50020000000,8296.0,1000.4000000000038,97.6000000000003,109409600.0,9.759999999999968,1094096000.0,15860.0,490440.0,2231.3799999999965,9879.486800000017,1043685,1.622111480115852,1,-1
Fidji,3886,79,4392000,219600000.0,5124,1952,268400000,4880.0,683.1999999999987,70.75999999999999,636839.9999999999,14.640000000000033,13176000.0,16104.0,2501000.0,-4322.069600000011,43447.86000000003,2776,2.0329387545033453,1,-1
Finlande,1162400,49062,82472000,1342000000.0,2196,2440,1220000000,488.0,366.0,39.03999999999987,2147200.0,53.67999999999983,295240000.0,19276.0,11831560.0,15109.482839999984,6282.548843999964,948522,4.220750172057811,1,-1
France (metropolitaine),38565392,4762101,134688000,15884399999.999998,2684,2196,16592000000,732.0,439.2000000000018,43.919999999999945,28591920.0,48.80000000000015,3176880000.0,19520.0,11443600.0,11279.534400000031,540.1428000000017,12007133,12.348120304339187,3,-1
Gabon,793860,5416,65392000,536800000.0,7564,1708,927200000,8296.0,951.5999999999963,90.28000000000013,1986160.0,9.759999999999968,21472000.0,15616.0,4045520.0,-196.10279999999977,2832.6935999999946,521473,0.6822361625475525,1,-1
Gambie,132775,4105,2684000,561200000.0,9272,1952,1220000000,10492.0,1268.8000000000059,107.35999999999966,2469280.0,7.320000000000016,16836000.0,14884.0,409920.0,3280.140800000011,-3735.664400000012,47445,3.091696479005837,1,-1
Georgie,177863,2275,17080000,976000000.0,3172,3172,854000000,2196.0,512.4000000000023,48.80000000000015,1952000.0,36.59999999999983,146400000.0,16836.0,2659600.0,10324.95760000001,10579.083600000027,126053,1.2790743437364713,1,-1
Ghana,3634266,20924,58316000,7417600000.0,7076,1708,12688000000,8296.0,927.1999999999961,90.28000000000013,27445120.0,7.320000000000016,222528000.0,15372.0,1134600.0,1938.9460000000033,-249.66080000000056,3093025,0.5757421168400992,1,-1
Grece,871984,33487,32208000,2562000000.0,1952,2684,2196000000,732.0,317.20000000000147,34.160000000000096,3586800.0000000005,53.67999999999983,563640000.0,19520.0,7222400.0,9534.104799999972,5325.129200000033,208102,3.8403227582157475,1,-1
Grenade,3808,0,82960,26840000.0,3904,2440,29280000,3660.0,488.0,58.56000000000013,64416.0,24.400000000000077,2684000.0,17080.0,3481880.0,2956.426000000012,-15049.67600000002,3172,0.0,1,-1
Guatemala,5097309,192138,26596000,4294400000.0,5856,1220,6588000000,4880.0,683.1999999999987,82.96000000000049,14600960.0,12.200000000000038,214720000.0,17324.0,2027640.0,3851.1740000000004,-22016.315200000026,3583140,3.7694006778870968,1,-1
Guinee,902648,5465,60024000,3123200000.0,8784,1952,6344000000,11956.0,1122.4000000000017,104.92000000000061,13429760.0,7.320000000000016,93696000.0,14884.0,605120.0,2426.7264000000027,-2365.970400000005,723938,0.6054408806090525,1,-1
Guinee equatoriale,422863,6798,6832000,341600000.0,8052,2196,683200000,15616.0,1073.5999999999974,90.28000000000013,1263920.0,4.879999999999984,6832000.0,14152.0,4433480.0,402.7952000000007,2505.3676000000005,219059,1.6076128675244703,1,-1
Guinee-Bissau,243598,3152,8784000,463600000.0,8540,2196,878400000,13420.0,1073.5999999999974,102.48000000000035,1947120.0,7.320000000000016,13908000.0,13664.0,436760.0,2880.102799999992,-3704.0176000000174,83778,1.2939350897790622,1,-1
Guyana,82096,3344,52460000,195200000.0,4880,1952,195200000,6344.0,585.5999999999973,68.32000000000019,546560.0000000001,17.080000000000048,13664000.000000002,16348.0,2091080.0,1185.9415039999978,-14378.963919999951,43581,4.073280062366011,1,-1
Haiti,783538,17673,6832000,2757200000.0,5856,1952,3660000000,12688.0,707.5999999999968,80.51999999999967,9098760.0,12.200000000000038,137860000.0,15128.0,456280.0,4628.9727999999905,-17637.588800000012,395969,2.25553834019537,1,-1
Honduras,4383180,135564,27328000,2366800000.0,5124,976,3416000000,3416.0,585.5999999999973,75.64000000000026,7337080.0,12.200000000000038,118340000.0,17812.0,1166320.0,3708.7999999999843,-21043.02360000013,742847,3.0928230189040833,1,-1
Hongrie,812081,85709,22692000,2366800000.0,2196,3172,1952000000,976.0,366.0,34.160000000000096,3313520.0000000005,48.80000000000015,473360000.0,17812.0,7268760.0,11507.65000000005,4758.805199999999,414673,10.554242741795461,3,-1
Inde,227945896,4462748,802028000,333401600000.0,4392,1708,399916000000,7320.0,536.7999999999987,65.88000000000031,900184320.0,14.640000000000033,20004096000.0,16592.0,1873920.0,5024.858896000011,19266.942719999883,164895363,1.9578101989605463,1,-1
Indonesie,13260569,612821,464820000,66026400000.0,4392,1708,80764000000,4392.0,561.2000000000008,63.43999999999985,171668640.0,14.640000000000033,3961584000.0,17080.0,3086600.0,-192.58919999999947,27796.79720000018,8054525,4.621377860934927,1,-1
Irak,15005557,488380,106872000,9589200000.0,7076,1220,17324000000,5612.0,878.4000000000036,92.71999999999984,36438960.0,7.320000000000016,287676000.0,16836.0,4218760.0,8106.4586040000095,10657.747004000052,10687306,3.2546609232832875,1,-1
Iran,39540364,2177404,402112000,20227600000.0,4392,1220,25132000000,2928.0,512.4000000000023,61.0,50569000.0,14.640000000000033,1213656000.0,18544.0,5136200.0,7912.409551999971,13099.88322399996,32631272,5.506787949650641,2,-1
Irlande,4169506,261405,17080000,1195600000.0,2928,1464,1464000000,488.0,439.2000000000018,51.24000000000017,2510760.0,34.160000000000096,167384000.00000003,19764.0,16301640.0,12966.745600000042,-1876.8723999999966,3305914,6.269447747526925,2,-1
Islande,336780,1701,25132000,82960000.0,2928,1708,92720000,244.0,414.79999999999825,48.80000000000015,165920.0,36.59999999999983,12444000.0,20008.0,13210160.0,15850.996400000093,-4641.075199999984,299569,0.5050774986638161,1,-1
Israel,9035628,78817,5368000,2074000000.0,4880,1220,3172000000,732.0,732.0,68.32000000000019,5807200.0,29.280000000000065,248880000.0,19764.0,9955200.0,7575.236444000018,8503.793328000043,6211779,0.8722913338176383,1,-1
Italie,41630885,5690917,73444000,14786400000.0,1708,2684,13176000000,488.0,317.20000000000147,31.719999999999924,19222320.0,56.11999999999973,3400872000.0,19764.0,10367560.0,10216.753360000044,3066.440719999992,27259519,13.669939997672401,3,-1
Jamaique,183234,2390,2684000,707600000.0,3904,1952,732000000,2684.0,488.0,58.56000000000013,1698240.0,21.959999999999972,63684000.0,17812.0,243756.0,4418.742399999971,-18860.590000000066,86149,1.3043430804326708,1,-1
Japon,5354157,154342,92232000,30963600000.0,1708,2684,25864000000,488.0,341.59999999999934,31.719999999999924,40252680.0,68.32000000000019,8669808000.0,19764.0,10980000.0,8833.977056000042,33733.71345600007,4011742,2.882657344564233,1,-1
Jordanie,210615,1917,21716000,2464400000.0,5124,976,3172000000,3416.0,658.800000000001,82.96000000000049,8378960.000000001,9.759999999999968,98576000.0,17812.0,2269200.0,7622.559999999961,8908.44000000004,156080,0.9101915817961683,1,-1
Kazakhstan,8169473,91278,664900000,4538400000.0,4880,1708,5856000000,1708.0,658.800000000001,70.75999999999999,13161360.0,19.519999999999936,363072000.0,16836.0,5912120.0,11716.782399999945,16329.382799999936,6221413,1.1173058531437707,1,-1
Kenya,2196490,39539,141520000,12834400000.0,6832,1220,22448000000,8540.0,829.5999999999965,95.16000000000012,50054160.0,4.879999999999984,256688000.0,15616.0,836920.0,-5.758400000000012,9249.112800000015,1139126,1.800099249256769,1,-1
